Potential applied (V);Time (s);WE(1).Current (A);Scan;Index;Q+;Q-;Current range;Overload
-0.097503662109375;9.63283897567942;-3.30200195312499E-05;1;1;0.000231204046308994;-0.000184342028200626;10 mA;
-0.095062255859375;9.68166697555614;-2.410888671875E-05;1;2;0.000231204046308994;-0.000184342028200626;10 mA;
-0.092620849609375;9.73049497543286;-1.8890380859375E-05;1;3;0.000231204046308994;-0.000184342028200626;10 mA;
-0.090179443359375;9.77932297530958;-1.53198242187499E-05;1;4;0.000231204046308994;-0.000184342028200626;10 mA;
-0.087738037109375;9.8281509751863;-1.46575927734375E-05;1;5;0.000231204046308994;-0.000184342028200626;1 mA;
-0.085296630859375;9.87697897506303;-1.2664794921875E-05;1;6;0.000231204046308994;-0.000184342028200626;1 mA;
-0.082855224609375;9.92580697493975;-1.104736328125E-05;1;7;0.000231204046308994;-0.000184342028200626;1 mA;
-0.080413818359375;9.97463497481647;-9.7076416015625E-06;1;8;0.000231204046308994;-0.000184342028200626;1 mA;
-0.077972412109375;10.0234629746932;-8.587646484375E-06;1;9;0.000231204046308994;-0.000184342028200626;1 mA;
-0.075531005859375;10.0722909745699;-7.598876953125E-06;1;10;0.000231204046308994;-0.000184342028200626;100 µA;
-0.073089599609375;10.1211189744466;-6.75048828125E-06;1;11;0.000231204046308994;-0.000184342028200626;100 µA;
-0.070648193359375;10.1699469743234;-5.9967041015625E-06;1;12;0.000231204046308994;-0.000184342028200626;100 µA;
-0.068206787109375;10.2187749742001;-5.352783203125E-06;1;13;0.000231204046308994;-0.000184342028200626;100 µA;
-0.065765380859375;10.2676029740768;-4.766845703125E-06;1;14;0.000231204046308994;-0.000184342028200626;100 µA;
-0.063323974609375;10.3164309739535;-4.1290283203125E-06;1;15;0.000231204046308994;-0.000184342028200626;10 µA;
-0.060882568359375;10.3652589738302;-3.631591796875E-06;1;16;0.000231204046308994;-0.000184342028200626;10 µA;
-0.058441162109375;10.414086973707;-3.19793701171875E-06;1;17;0.000231204046308994;-0.000184342028200626;10 µA;
-0.055999755859375;10.4629149735837;-2.7984619140625E-06;1;18;0.000231204046308994;-0.000184342028200626;10 µA;
-0.053558349609375;10.5117429734604;-2.4053955078125E-06;1;19;0.000231204046308994;-0.000184342028200626;10 µA;
-0.051116943359375;10.5605709733371;-2.0556640625E-06;1;20;0.000231204046308994;-0.000184342028200626;1 µA;
-0.048675537109375;10.6093989732138;-1.7462158203125E-06;1;21;0.000231204046308994;-0.000184342028200626;1 µA;
-0.046234130859375;10.6582269730906;-1.4398193359375E-06;1;22;0.000231204046308994;-0.000184342028200626;1 µA;
-0.043792724609375;10.7070549729673;-1.16729736328125E-06;1;23;0.000231204046308994;-0.000184342028200626;1 µA;
-0.041351318359375;10.755882972844;-9.02099609375E-07;1;24;0.000231204046308994;-0.000184342028200626;1 µA;
-0.038909912109375;10.8047109727207;-6.55517578125E-07;1;25;0.000231204046308994;-0.000184342028200626;1 µA;
-0.036468505859375;10.8535389725974;-4.3182373046875E-07;1;26;0.000231204046308994;-0.000184342028200626;1 µA;
-0.034027099609375;10.9023669724742;-2.130126953125E-07;1;27;0.000231204046308994;-0.000184342028200626;1 µA;
-0.031585693359375;10.9511949723509;1.8310546875E-09;1;28;0.000231204046308994;-0.000184342028200626;1 µA;
-0.029144287109375;11.0000229722276;1.8218994140625E-07;1;29;0.000231204046308994;-0.000184342028200626;1 µA;
-0.026702880859375;11.0488509721043;3.7872314453125E-07;1;30;0.000231204046308994;-0.000184342028200626;1 µA;
-0.024261474609375;11.0976789719811;5.68389892578125E-07;1;31;0.000231204046308994;-0.000184342028200626;100 nA;
