Potential applied (V);Time (s);WE(1).Current (A);Scan;Index;Q+;Q-;Current range
-0.097503662109375;10.9873429722596;-7.41577148437506E-06;1;1;0.000213056582957506;-0.00018331503123045;10 mA
-0.095062255859375;11.1094129719514;-5.24902343749994E-06;1;2;0.000213056582957506;-0.00018331503123045;10 mA
-0.092620849609375;11.2314829716432;-4.08935546875003E-06;1;3;0.000213056582957506;-0.00018331503123045;10 mA
-0.090179443359375;11.353552971335;-3.38745117187497E-06;1;4;0.000213056582957506;-0.00018331503123045;10 mA
-0.087738037109375;11.4756229710268;-5.0811767578125E-06;1;5;0.000213056582957506;-0.00018331503123045;1 mA
-0.085296630859375;11.5976929707186;-4.62646484375E-06;1;6;0.000213056582957506;-0.00018331503123045;1 mA
-0.082855224609375;11.7197629704104;-4.2724609375E-06;1;7;0.000213056582957506;-0.00018331503123045;1 mA
-0.080413818359375;11.8418329701022;-3.9703369140625E-06;1;8;0.000213056582957506;-0.00018331503123045;1 mA
-0.077972412109375;11.963902969794;-3.70178222656251E-06;1;9;0.000213056582957506;-0.00018331503123045;1 mA
-0.075531005859375;12.0859729694859;-3.4698486328125E-06;1;10;0.000213056582957506;-0.00018331503123045;100 µA
-0.073089599609375;12.2080429691777;-3.240966796875E-06;1;11;0.000213056582957506;-0.00018331503123045;100 µA
-0.070648193359375;12.3301129688695;-3.0670166015625E-06;1;12;0.000213056582957506;-0.00018331503123045;100 µA
-0.068206787109375;12.4521829685613;-2.880859375E-06;1;13;0.000213056582957506;-0.00018331503123045;100 µA
-0.065765380859375;12.5742529682531;-2.703857421875E-06;1;14;0.000213056582957506;-0.00018331503123045;100 µA
-0.063323974609375;12.6963229679449;-2.48443603515625E-06;1;15;0.000213056582957506;-0.00018331503123045;10 µA
-0.060882568359375;12.8183929676367;-2.35107421875E-06;1;16;0.000213056582957506;-0.00018331503123045;10 µA
-0.058441162109375;12.9404629673285;-2.23663330078125E-06;1;17;0.000213056582957506;-0.00018331503123045;10 µA
-0.055999755859375;13.0625329670203;-2.09808349609375E-06;1;18;0.000213056582957506;-0.00018331503123045;10 µA
-0.053558349609375;13.1846029667121;-1.99737548828125E-06;1;19;0.000213056582957506;-0.00018331503123045;10 µA
-0.051116943359375;13.3066729664039;-1.89361572265625E-06;1;20;0.000213056582957506;-0.00018331503123045;1 µA
-0.048675537109375;13.4287429660957;-1.800537109375E-06;1;21;0.000213056582957506;-0.00018331503123045;1 µA
-0.046234130859375;13.5508129657875;-1.69891357421875E-06;1;22;0.000213056582957506;-0.00018331503123045;1 µA
-0.043792724609375;13.6728829654793;-1.60614013671875E-06;1;23;0.000213056582957506;-0.00018331503123045;1 µA
-0.041351318359375;13.7949529651711;-1.52496337890625E-06;1;24;0.000213056582957506;-0.00018331503123045;1 µA
-0.038909912109375;13.9170229648629;-1.4410400390625E-06;1;25;0.000213056582957506;-0.00018331503123045;1 µA
-0.036468505859375;14.0390929645547;-1.36199951171875E-06;1;26;0.000213056582957506;-0.00018331503123045;1 µA
-0.034027099609375;14.1611629642465;-1.28753662109375E-06;1;27;0.000213056582957506;-0.00018331503123045;1 µA
-0.031585693359375;14.2832329639383;-1.2213134765625E-06;1;28;0.000213056582957506;-0.00018331503123045;1 µA
-0.029144287109375;14.4053029636301;-1.15142822265625E-06;1;29;0.000213056582957506;-0.00018331503123045;1 µA
-0.026702880859375;14.5273729633219;-1.085205078125E-06;1;30;0.000213056582957506;-0.00018331503123045;1 µA
-0.024261474609375;14.6494429630137;-1.00616455078125E-06;1;31;0.000213056582957506;-0.00018331503123045;1 µA
-0.021820068359375;14.7715129627055;-9.4512939453125E-07;1;32;0.000213056582957506;-0.00018331503123045;1 µA
-0.019378662109375;14.8935829623973;-8.953857421875E-07;1;33;0.000213056582957506;-0.00018331503123045;1 µA
-0.016937255859375;15.0156529620891;-8.4259033203125E-07;1;34;0.000213056582957506;-0.00018331503123045;1 µA
-0.014495849609375;15.1377229617809;-7.720947265625E-07;1;35;0.000213056582957506;-0.00018331503123045;1 µA
-0.012054443359375;15.2597929614727;-7.1746826171875E-07;1;36;0.000213056582957506;-0.00018331503123045;1 µA
